Data,Total
fev-1950,4969
mar-1950,4881
abr-1950,4972
mai-1950,5147
jun-1950,5377
jul-1950,5486
ago-1950,5684
set-1950,5890
out-1950,5904
nov-1950,5893
dez-1950,5725
jan-1951,5917
fev-1951,5934
mar-1951,6057
abr-1951,6129
mai-1951,6181
jun-1951,6135
jul-1951,6149
ago-1951,6243
set-1951,6267
out-1951,6392
nov-1951,6283
dez-1951,6193
jan-1952,6221
fev-1952,6373
mar-1952,6359
abr-1952,6431
mai-1952,5089
jun-1952,6190
jul-1952,6096
ago-1952,6218
set-1952,6520
out-1952,6503
nov-1952,6461
dez-1952,6642
jan-1953,6555
fev-1953,6542
mar-1953,6517
abr-1953,6398
mai-1953,6391
jun-1953,6588
jul-1953,6604
ago-1953,6596
set-1953,6552
out-1953,6249
nov-1953,6271
dez-1953,6237
jan-1954,6240
fev-1954,6380
mar-1954,6508
abr-1954,6617
mai-1954,6472
jun-1954,6499
jul-1954,6261
ago-1954,6142
set-1954,6144
out-1954,6120
nov-1954,6346
dez-1954,6391
jan-1955,6761
fev-1955,6834
mar-1955,6886
abr-1955,6889
mai-1955,6680
jun-1955,6595
jul-1955,6633
ago-1955,6665
set-1955,6735
out-1955,6834
nov-1955,7015
dez-1955,7157
jan-1956,7198
fev-1956,7210
mar-1956,7279
abr-1956,7147
mai-1956,7063
jun-1956,7100
jul-1956,7089
ago-1956,7195
set-1956,7053
out-1956,6954
nov-1956,7148
dez-1956,7377
jan-1957,7472
fev-1957,7677
mar-1957,7693
abr-1957,7546
mai-1957,7434
jun-1957,7110
jul-1957,6864
ago-1957,6779
set-1957,6893
out-1957,6840
nov-1957,6842
dez-1957,6924
jan-1958,6880
fev-1958,6820
mar-1958,6277
abr-1958,6300
mai-1958,6232
jun-1958,6339
jul-1958,6571
ago-1958,6936
set-1958,7088
out-1958,6964
nov-1958,6975
dez-1958,7138
jan-1959,7223
fev-1959,7194
mar-1959,7188
abr-1959,7256
mai-1959,7220
jun-1959,7083
jul-1959,6784
ago-1959,6766
set-1959,6857
out-1959,6911
nov-1959,6982
dez-1959,7193
jan-1960,7231
fev-1960,7242
mar-1960,7129
abr-1960,7038
mai-1960,6848
jun-1960,6940
jul-1960,6861
ago-1960,6941
set-1960,6972
out-1960,6961
nov-1960,7137
dez-1960,7155
jan-1961,7216
fev-1961,7305
mar-1961,7481
abr-1961,7341
mai-1961,7162
jun-1961,7121
jul-1961,6977
ago-1961,7125
set-1961,7017
out-1961,7150
nov-1961,7179
dez-1961,7337
jan-1962,7373
fev-1962,7494
mar-1962,7403
abr-1962,7419
mai-1962,7221
jun-1962,7286
jul-1962,7254
ago-1962,7263
set-1962,7348
out-1962,7396
nov-1962,7470
dez-1962,7410
jan-1963,7334
fev-1963,7616
mar-1963,7587
abr-1963,7638
