Data,Total
dez/53,6237
jan/54,6240
fev/54,6380
mar/54,6508
abr/54,6617
mai/54,6472
jun/54,6499
jul/54,6261
ago/54,6142
set/54,6144
out/54,6120
nov/54,6346
dez/54,6391
jan/55,6761
fev/55,6834
mar/55,6886
abr/55,6889
mai/55,6680
jun/55,6595
jul/55,6633
ago/55,6665
set/55,6735
out/55,6834
nov/55,7015
dez/55,7157
jan/56,7198
fev/56,7210
mar/56,7279
abr/56,7147
mai/56,7063
jun/56,7100
jul/56,7089
ago/56,7195
set/56,7053
out/56,6954
nov/56,7148
dez/56,7377
jan/57,7472
fev/57,7677
mar/57,7693
abr/57,7546
mai/57,7434
jun/57,7110
jul/57,6864
ago/57,6779
set/57,6893
out/57,6840
nov/57,6842
dez/57,6924
jan/58,6880
fev/58,6820
mar/58,6277
abr/58,6300
mai/58,6232
jun/58,6339
jul/58,6571
ago/58,6936
set/58,7088
out/58,6964
nov/58,6975
dez/58,7138
jan/59,7223
fev/59,7194
mar/59,7188
abr/59,7256
mai/59,7220
jun/59,7083
jul/59,6784
ago/59,6766
set/59,6857
out/59,6911
nov/59,6982
dez/59,7193
jan/60,7231
fev/60,7242
mar/60,7129
abr/60,7038
mai/60,6848
jun/60,6940
jul/60,6861
ago/60,6941
set/60,6972
out/60,6961
nov/60,7137
dez/60,7155
jan/61,7216
fev/61,7305
mar/61,7481
abr/61,7341
mai/61,7162
jun/61,7121
jul/61,6977
ago/61,7125
set/61,7017
out/61,7150
nov/61,7179
dez/61,7337
jan/62,7373
fev/62,7494
mar/62,7403
abr/62,7419
mai/62,7221
jun/62,7286
jul/62,7254
ago/62,7263
set/62,7348
out/62,7396
nov/62,7470
dez/62,7410
jan/63,7334
fev/63,7616
mar/63,7587
abr/63,7638
mai/63,7593
jun/63,7591
jul/63,7614
ago/63,7669
set/63,7537
out/63,7566
nov/63,7574
dez/63,7541
jan/64,7654
fev/64,7719
mar/64,7740
abr/64,7769
mai/64,7603
jun/64,7591
jul/64,7503
ago/64,7479
set/64,7562
out/64,7654
nov/64,7664
dez/64,7800
jan/65,7803
fev/65,7838
mar/65,7893
abr/65,7925
mai/65,7716
jun/65,7779
jul/65,7695
ago/65,7779
set/65,7448
out/65,7905
nov/65,8018
dez/65,8212
jan/66,8079
fev/66,8274
mar/66,8325
abr/66,8303
mai/66,8381
jun/66,8382
jul/66,8269
ago/66,8294
set/66,8295
out/66,8370
nov/66,8477
dez/66,8562
jan/67,8620
fev/67,8675
mar/67,8596
abr/67,8527
mai/67,8446
jun/67,8608
jul/67,9226
ago/67,9512
set/67,9186
out/67,9111
nov/67,9112
dez/67,9037
jan/68,9177
fev/68,9479
mar/68,9492
abr/68,9298
mai/68,9391
jun/68,9341
jul/68,9351
ago/68,9328
set/68,9113
out/68,9098
nov/68,9160
dez/68,9098
jan/69,9065
fev/69,9112
mar/69,9245
abr/69,9439
mai/69,9567
jun/69,9833
jul/69,9488
ago/69,9270
set/69,9479
out/69,9431
nov/69,9565
dez/69,9744
jan/70,9713
fev/70,9788
mar/70,9732
abr/70,9817
mai/70,9760
jun/70,9588
jul/70,9433
ago/70,9782
set/70,10075
out/70,10251
nov/70,10285
dez/70,10170
jan/71,9854
fev/71,9940
mar/71,9977
abr/71,9985
mai/71,9877
jun/71,9832
jul/71,9686
ago/71,9634
set/71,9355
out/71,9383
nov/71,9357
dez/71,9308
jan/72,9321
fev/72,9524
mar/72,9664
abr/72,9715
mai/72,9815
jun/72,9725
jul/72,9698
ago/72,9678
set/72,9704
out/72,9680
nov/72,9624
dez/72,9532
jan/73,9371
fev/73,9611
mar/73,9446
abr/73,9489
mai/73,9462
jun/73,9412
jul/73,9419
ago/73,9376
set/73,9266
out/73,9424
nov/73,9356
dez/73,9259
jan/74,9125
fev/74,9332
mar/74,9148
abr/74,9134
mai/74,9102
jun/74,8982
jul/74,8982
ago/74,8899
set/74,8639
out/74,8808
nov/74,8765
dez/74,8718
jan/75,8648
fev/75,8783
mar/75,8683
abr/75,8645
mai/75,8571
jun/75,8611
jul/75,8526
ago/75,8439
set/75,8475
out/75,8516
nov/75,8470
dez/75,8446
jan/76,8425
fev/76,8422
mar/76,8422
abr/76,8236
mai/76,8274
jun/76,8244
jul/76,8298
ago/76,8284
set/76,8322
out/76,8242
nov/76,8255
dez/76,8236
jan/77,8026
fev/77,8306
mar/77,8254
abr/77,8308
mai/77,8241
jun/77,8387
jul/77,8476
ago/77,8945
set/77,9341
out/77,9412
nov/77,9438
dez/77,9345
jan/78,9229
fev/78,9231
mar/78,9871
abr/78,10107
mai/78,10106
jun/78,10138
jul/78,10051
ago/78,10074
set/78,10122
out/78,10162
nov/78,10092
dez/78,10009
jan/79,9826
fev/79,9791
mar/79,9956
abr/79,9899
mai/79,9950
jun/79,9678
jul/79,9769
ago/79,9981
set/79,9959
out/79,10101
nov/79,10374
dez/79,10134
jan/80,10309
fev/80,10335
mar/80,10345
abr/80,10334
mai/80,10262
jun/80,10180
jul/80,10159
ago/80,10026
set/80,10229
out/80,10120
nov/80,10056
dez/80,10208
jan/81,27227
fev/81,27434
mar/81,27456
abr/81,27283
mai/81,27081
jun/81,27518
jul/81,27105
ago/81,27354
set/81,27422
out/81,27285
nov/81,27374
dez/81,27378
jan/82,27233
fev/82,27816
mar/82,27699
abr/82,27465
mai/82,27757
jun/82,27602
jul/82,27684
ago/82,27598
set/82,27810
out/82,27812
nov/82,27767
dez/82,27477
jan/83,27823
fev/83,27993
mar/83,27833
abr/83,28046
mai/83,27560
jun/83,27692
jul/83,27627
ago/83,27737
set/83,28090
out/83,28046
nov/83,28029
dez/83,26901
jan/84,28354
fev/84,28371
mar/84,27587
abr/84,28357
mai/84,28633
jun/84,28220
jul/84,28349
ago/84,28149
set/84,28740
out/84,28452
nov/84,28718
dez/84,28413
jan/85,27866
fev/85,28952
mar/85,29149
abr/85,28911
mai/85,29281
jun/85,28935
jul/85,28657
ago/85,28203
set/85,28728
out/85,28761
nov/85,28513
dez/85,28940
jan/86,29281
fev/86,29427
mar/86,28900
abr/86,28427
mai/86,28440
jun/86,27757
jul/86,27881
ago/86,26931
set/86,26769
out/86,27181
nov/86,27118
dez/86,26861
jan/87,27459
fev/87,27018
mar/87,27360
abr/87,27486
mai/87,26989
jun/87,26769
jul/87,26665
ago/87,26539
set/87,26490
out/87,27078
nov/87,27258
dez/87,26998
jan/88,26747
fev/88,27191
mar/88,27209
abr/88,26894
mai/88,26703
jun/88,26493
jul/88,26077
ago/88,26249
set/88,25706
out/88,26074
nov/88,26095
dez/88,25820
jan/89,25770
fev/89,25325
mar/89,24412
abr/89,25206
mai/89,25423
jun/89,24734
jul/89,24053
ago/89,24501
set/89,24519
out/89,24233
nov/89,24524
dez/89,23910
jan/90,24501
fev/90,24326
mar/90,24117
abr/90,24021
mai/90,23747
jun/90,22929
jul/90,23204
ago/90,23587
set/90,23373
out/90,24509
nov/90,23910
dez/90,23848
jan/91,24347
fev/91,24817
mar/91,24524
abr/91,24327
mai/91,23994
jun/91,23716
jul/91,23813
ago/91,23676
set/91,23886
out/91,24152
nov/91,23748
dez/91,23613
jan/92,23872
fev/92,23973
mar/92,23828
abr/92,23617
mai/92,23186
jun/92,23204
jul/92,23043
ago/92,22399
set/92,22789
out/92,23072
nov/92,22748
dez/92,23015
jan/93,22536
fev/93,22456
mar/93,22562
abr/93,22230
mai/93,22106
jun/93,21904
jul/93,21505
ago/93,21800
set/93,21606
out/93,22125
nov/93,22406
dez/93,22243
jan/94,22107
fev/94,21908
mar/94,21822
abr/94,21337
mai/94,21645
jun/94,21350
jul/94,20996
ago/94,21131
set/94,21342
out/94,21578
nov/94,21400
dez/94,21918
jan/95,21621
fev/95,21960
mar/95,21325
abr/95,21324
mai/95,21404
jun/95,21218
jul/95,20748
ago/95,20772
set/95,20626
out/95,20737
nov/95,21225
dez/95,21054
jan/96,20932
fev/96,21211
mar/96,21168
abr/96,20696
mai/96,20521
jun/96,20792
jul/96,20332
ago/96,20406
set/96,20847
out/96,20821
nov/96,20829
dez/96,20908
jan/97,20585
fev/97,20924
mar/97,20688
abr/97,20652
mai/97,20725
jun/97,20586
jul/97,20466
ago/97,20242
set/97,20732
out/97,20687
nov/97,20656
dez/97,20883
jan/98,20852
fev/98,20666
mar/98,20443
abr/98,20651
mai/98,20212
jun/98,19936
jul/98,19737
ago/98,19742
set/98,18461
out/98,19624
nov/98,19589
dez/98,19290
jan/99,19052
fev/99,19002
mar/99,18781
abr/99,18714
mai/99,18714
jun/99,18247
jul/99,18385
ago/99,18353
set/99,18343
out/99,18909
nov/99,18903
dez/99,18935
jan/00,18379
fev/00,18588
mar/00,18767
abr/00,18573
mai/00,18504
jun/00,18395
jul/00,18132
ago/00,18282
set/00,18165
out/00,18391
nov/00,18484
dez/00,18573
jan/01,18377
fev/01,18318
mar/01,18649
abr/01,18572
mai/01,18444
jun/01,18233
jul/01,18172
ago/01,18102
set/01,18017
out/01,18132
nov/01,18665
dez/01,18712
jan/02,18655
fev/02,18672
mar/02,18694
abr/02,18541
mai/02,18719
jun/02,18671
jul/02,18181
ago/02,18350
set/02,17121
out/02,17057
nov/02,17775
dez/02,18174
jan/03,18248
fev/03,18361
mar/03,18433
abr/03,18147
mai/03,17979
jun/03,17966
jul/03,17420
ago/03,17669
set/03,17788
out/03,17809
nov/03,17604
